장소,지역,주소,구분,위도,경도,전화번호,홈페이지,제한조건
조개공장,강릉,강원 강릉시 창해로 263,식당/카페,37.7884408,128.924484,033-652-9245,https://www.instagram.com/shell__factory,
디어먼데이 강릉 세인트존스호텔점,강릉,"강원 강릉시 창해로 307, 세인트존스호텔 16층",숙소,37.79128002,128.9209319,1533-5213,,
강릉커피거리,강릉,강원 강릉시 창해로14번길 20-1,관광지,37.7726047,128.9473387,033-640-4531,,
안목해변,강릉,강원 강릉시 창해로14번길 20-1,관광지,37.7726047,128.9473387,033-660-3887,,
피앤비코,강릉,강원 강릉시 창해로14번길 22-1,식당/카페,37.77244957,128.9473991,033-651-2600,,
에이엠브레드앤커피,강릉,강원 강릉시 창해로14번길 24,식당/카페,37.77232609,128.9475336,033-655-2200,https://www.instagram.com/ambreadcoffee,
고씨네동해막국수 강릉본점,강릉,강원 강릉시 창해로350번길 25 1층,식당/카페,37.7963158,128.9171596,0507-1421-5458,https://www.instagram.com/gossinememil,
덴켄,강릉,강원 강릉시 창해로350번길 5,식당/카페,37.79493758,128.9184678,,https://www.instagram.com/denken.official,
카페명경,강릉,강원 강릉시 청량학동길 1-3,식당/카페,37.74777743,128.9114431,,https://www.instagram.com/cafe_myungkyung,
까사초당,강릉,강원 강릉시 초당원길 69-1,숙소,37.78718309,128.9135012,0507-1344-2723,https://blog.naver.com/louis781224,
프렌즈애견펜션,강릉,강원 강릉시 하남길 117-4,숙소,37.81174697,128.8805411,010-8901-8555,http://www.ilovefriends.net,
경포몽애견펜션,강릉,강원 강릉시 하남길 197-15,숙소,37.80811754,128.8856929,0507-875-0491,http://gyeongpomong.co.kr/,
르꼬따쥬,강릉,강원 강릉시 한밭골길 50-11,식당/카페,37.78752821,128.8642767,0507-1325-0813,https://blog.naver.com/le_cottage,
사근진해중공원 전망대,강릉,강원 강릉시 해안로604번길 16,관광지,37.81272232,128.8988738,033-640-4531,,
사근진해변,강릉,강원 강릉시 해안로604번길 16,관광지,37.81272232,128.8988738,033-640-4925,http://sagunjin.co.kr,
강릉 로뎀나무 펜션,강릉,강원 강릉시 해안로621번길 12 (안현동),숙소,37.81182006,128.898001,070-4376-6814,https://rodemps.kr/,
모래시계공원,강릉,강원 강릉시 헌화로 990-1,관광지,37.68694189,129.0375958,033-640-4536,,
반비치,고성,강원 고성군 거진읍 반암리 53-1번지 선,관광지,38.42467611,128.4607666,,https://www.instagram.com/banbeach_gosung?igsh=MWVheng1bGExcjQzYQ==,
마추깡 카페,고성,강원 고성군 거진읍 해오름해변길 117,식당/카페,38.43889946,128.4539336,033-682-3050,,
스퀘어루트,고성,강원 고성군 죽왕면 가향길 2-7,식당/카페,38.37526326,128.5056843,033-681-0604,https://www.instagram.com/gajin_squareroot,
숲속의 정원,고성,강원 고성군 죽왕면 곡실평길 332,숙소,38.30653348,128.4897148,,https://www.instagram.com/piumhealingpark,
고비치5311,고성,강원 고성군 죽왕면 괘진길 53-11,식당/카페,38.29628202,128.5474508,0507-1466-5311,,
멍스테이,고성,강원 고성군 죽왕면 백도해변길 78,숙소,38.30184159,128.545239,010-2820-6530,https://meongstay.kr,8kg 미만
미픽펍,고성,강원 고성군 죽왕면 삼포해변길 11-8 C동 미픽펍,식당/카페,38.31705029,128.5316338,070-7793-0328,http://www.instagram.com/mipicpub,
오션투유리조트 속초설악비치 호텔앤콘도,고성,강원 고성군 죽왕면 삼포해변길 9,숙소,38.31704543,128.5310817,033-630-9200,http://www.ocean2you.co.kr/,
풍어횟집,고성,강원 고성군 죽왕면 심층수길 40-12,식당/카페,38.32720068,128.5290913,033-632-8582,,
앤트리카페,고성,강원 고성군 죽왕면 자작도선사1길 18-1,식당/카페,38.30930722,128.5402457,0507-1436-0552,https://naver.me/5MVrlpiV,
보니블루 애견펜션,고성,강원 고성군 죽왕면 자작도선사길 130-24,숙소,38.305553,128.5400691,010-4478-8811,http://www.bonyblue.co.kr/,
바닷가펜션,고성,강원 고성군 죽왕면 천학정길 65,숙소,38.29401812,128.5474365,010-7108-6935,https://homepage.staymg.com/고성바닷가펜션,
켄싱턴리조트 설악밸리,고성,강원 고성군 토성면 신평골길 8-25 웰컴센터,숙소,38.22841247,128.4896882,033-633-0100,,
아야진 해변,고성,강원 고성군 토성면 아야진해변길 157,관광지,38.27651142,128.5527621,033-680-3356,,
설악의정원,고성,강원 고성군 토성면 용원로 595,숙소,38.21458163,128.5173767,010-4310-2804,http://www.seorakgarden.com,
글라스하우스,고성,강원 고성군 토성면 천진해변길 43,식당/카페,38.26061724,128.5598592,033-637-0406,https://www.instagram.com/glasshaus.official/,
통일전망대,고성,강원 고성군 현내면 금강산로 481,관광지,38.51441872,128.4166567,033-682-0088,,
명파해변오토캠핑장,고성,강원 고성군 현내면 명파4길 47,숙소,38.54351143,128.405302,,https://gwgs.pubcamping.kr/@myeongpa/index,
명파해변,고성,강원 고성군 현내면 명파리 230-29,관광지,38.54353862,128.4054307,033-680-3356,,
알마레,동해,"강원 동해시 감추6길 40, 4층 알마레",식당/카페,37.51936288,129.1212926,033-535-8686,,
논골담길,동해,강원 동해시 논골1길 2,관광지,37.55277016,129.1165868,033-530-2231,,
나인비치37Pub,동해,강원 동해시 동해대로 6218,식당/카페,37.59010013,129.0960376,,https://www.instagram.com/nine_beach_37,
나인비치37Surf,동해,강원 동해시 동해대로 6218,관광지,37.59010013,129.0960376,,https://www.instagram.com/nine_beach_37,
망상해변,동해,강원 동해시 동해대로 6270-10,관광지,37.59225691,129.08969,033-530-2232,,
너랑온펜션,동해,강원 동해시 망상길 42,숙소,37.59091677,129.0892658,0503-7151-0538,http://www.instagram.com/sor_sajang,
골든비치펜션,동해,강원 동해시 망상길 43,숙소,37.59104778,129.0887659,033-534-3772,,
망상파크펜션,동해,강원 동해시 망상길 45-1,숙소,37.59106271,129.08836,033-534-3993,,
글로리아펜션,동해,강원 동해시 망상길 49,숙소,37.59129464,129.0885299,010-9895-0790,,
대진해수욕장,동해,강원 동해시 망상동 1-3,관광지,37.58149301,129.1091949,033-530-2272,,
황토민박펜션,동해,강원 동해시 분토길 188-7,숙소,37.50874203,129.0957221,010-6372-6459,http://www.동해펜션.한국/,
꽃.개,동해,강원 동해시 새들길 75,식당/카페,37.57646162,129.0863956,0507-1356-9518,https://youtu.be/iKlmeCUIkcw,
올리브펜션,동해,강원 동해시 일출로 369,숙소,37.57391445,129.1167065,033-532-2563,,
삐삐라떼,동해,강원 동해시 전천로 235-21 1층,식당/카페,37.48165235,129.1168845,010-4856-6651,https://blog.naver.com/dmsgml9344,
추암대게,동해,강원 동해시 촛대바위길 18,식당/카페,37.47780164,129.1588039,033-521-5222,,
추암해변,동해,강원 동해시 촛대바위길 28,관광지,37.47708928,129.1592019,033-530-2801,,
추암촛대바위,동해,강원 동해시 추암동 산69,관광지,37.47899434,129.1586323,033-530-2801,,없음
추암조각공원,동해,강원 동해시 추암동 산72,관광지,37.47991814,129.1568824,033-530-2801,,
묵호등대,동해,강원 동해시 해맞이길 289,관광지,37.55483075,129.1184741,033-531-3258,,
덕산해변,삼척,강원 삼척시 근덕면 덕산리 119-5,관광지,37.38622893,129.2399822,033-572-3011,,
나디아민박,삼척,강원 삼척시 근덕면 덕산해변길 144-6 나디아민박,숙소,37.38503009,129.2421822,,https://www.instagram.com/p/By63_4qgjdI/?igshid=1mffvgugisanb,
신나개 애견펜션,삼척,강원 삼척시 근덕면 덕산해안로 78,숙소,37.38188252,129.2434085,0507-1349-9595,http://joydog.co.kr/,
맹방해변,삼척,강원 삼척시 근덕면 맹방해변로 228-239,관광지,37.38974857,129.2319791,033-572-3011,,
펜션오라,삼척,강원 삼척시 근덕면 삼척로 2095,숙소,37.28335108,129.3135037,010-2345-0660,http://삼척펜션.net,
장호비치캠핑장,삼척,강원 삼척시 근덕면 삼척로 2116,숙소,37.28456,129.3124077,033-576-0884,,
하쿠나마타타,삼척,강원 삼척시 근덕면 삼척로 2246,식당/카페,37.28823325,129.29906,033-575-7319,,
씨스포빌리조트,삼척,강원 삼척시 근덕면 상맹방길30-80 씨스포빌리조트,숙소,37.39591569,129.2207962,033-570-5000,,
힐링캠프 애견동반 펜션,삼척,강원 삼척시 근덕면 용화안길 14,숙소,37.28871618,129.302706,,http://힐링캠프펜션.kr/,
정원가든 애견동반펜션,삼척,강원 삼척시 근덕면 용화안길 225-1,숙소,37.28057338,129.2965226,,http://jungwonps.kr/,
다사랑펜션,삼척,강원 삼척시 근덕면 용화안길 64-13,숙소,37.28645682,129.3005875,010-9046-0334,http://dalovepension.kr/,
그린향펜션,삼척,강원 삼척시 근덕면 용화안길 81-6,숙소,37.28548241,129.2996408,070-4364-9338,http://greenhyang.kr/,
장호해변,삼척,강원 삼척시 근덕면 장호리 413-8,관광지,37.28583179,129.3147671,033-572-3011,,
카페로이,삼척,강원 삼척시 도계읍 도계로 222-11,식당/카페,37.22951576,129.04364,,http://www.instagram.com/caferoi,
삼척 미로(未老)정원,삼척,강원 삼척시 미로면 내미로리 167,관광지,37.44404294,129.0711412,033-575-4846,,
마린데크,삼척,강원 삼척시 새천년도로 326,식당/카페,37.45672693,129.1860439,033-574-2555,,
배나들,삼척,강원 삼척시 새천년도로 469-1,식당/카페,37.46385265,129.1756723,033-572-7717,,
커피정원,삼척,강원 삼척시 오십천로 566 벚꽃둑방길,식당/카페,37.43371985,129.1777922,033-575-4343,,
삼척 장미공원,삼척,강원 삼척시 정상동 232,관광지,37.43347057,129.1766732,033-570-4067,,
금호설악리조트,속초,강원 속초시 노학동 795-4,숙소,38.18265196,128.54971,033-636-8000,,
대포항,속초,강원 속초시 대포동 954,관광지,38.17286584,128.6076144,033-633-3171,,
설악 해맞이공원,속초,강원 속초시 동해대로 3664,관광지,38.16315084,128.6085311,033-639-2422,,
조양펜션,속초,강원 속초시 동해대로3950번길 15,숙소,38.18818624,128.6025734,010-4230-2904,,
등대해수욕장,속초,강원 속초시 영랑해안길,관광지,38.21604439,128.5959489,033-639-2027,,
이스파펜션,속초,강원 속초시 영랑해안길 159,숙소,38.21650286,128.5953558,033-633-2345,http://espaps.com/,
속초시 반려견놀이터,속초,강원 속초시 영랑호반길 329-1,관광지,38.21449294,128.5699195,033-639-2391,,
속초반려동물문화축제,속초,강원 속초시 조양동 1546-1,관광지,38.19066329,128.5844785,033-632-7576,,
속초 관광수산시장,속초,강원 속초시 중앙로147번길 12,관광지,38.20398774,128.5905516,033-633-3501,,
월드스카이호텔,속초,강원 속초시 청초호반로 267,숙소,38.20113028,128.5864637,,https://www.sota-suite.com/worldsky/main,
바다향기,속초,강원 속초시 해오름로 13,숙소,38.1786968,128.6040409,033-631-7761,,
블루12 속초오션파크,속초,강원 속초시 해오름로 167,숙소,38.18888966,128.6034129,,https://billtrip.kr/,
학조리샘말펜션,양구,강원 양구군 양구읍 학안로 97-21,숙소,38.06830865,127.9792426,010-3481-2311,http://hakjorips.com/,
한반도섬 자연습지,양구,강원 양구군 양구읍 한반도섬길 76,관광지,38.1306367,127.9828072,033-480-7267,,
더퍼피즈블루오션,양양,강원 양양군 강현면 동해대로 3411,숙소,38.14196164,128.6124589,010-4278-8987,http://puppygh2.com/,
아름다운바다콘도텔,양양,강원 양양군 강현면 동해대로 3575,숙소,38.15569302,128.6088676,033-673-6612,,
정암해수욕장,양양,강원 양양군 강현면 정암리 3,관광지,38.14030207,128.6141954,033-671-8055,,
아담하우스,양양,강원 양양군 강현면 주청2길 17,숙소,38.11793029,128.6297603,033-672-4333,http://adamhouse37.com,
양양해피플레이스,양양,강원 양양군 강현면 중복골길 11,숙소,38.14120896,128.5727595,010-2750-2749,http://happyplacepension.co.kr,
몬띠마르펜션,양양,강원 양양군 강현면 진미로 510-36,숙소,38.11898823,128.5705988,070-4364-9562,https://monti.co.kr/,
하얀멍이 애견펜션,양양,강원 양양군 서면 들돌길 207,숙소,38.08286387,128.5722685,0507-1331-3945,http://youjin4231.touryy.net/,
신원비엔빌,양양,강원 양양군 손양면 굴개길 72,숙소,38.05350137,128.682759,033-672-8777,,
발렌타인애견펜션,양양,강원 양양군 손양면 남대천로 251-117,숙소,38.04593739,128.6149272,010-8131-0131,,
보노펜션,양양,강원 양양군 손양면 선사유적로 240-29,숙소,38.05352174,128.6864849,070-4376-6405,https://pensionbono.kr,
페트리코펜션,양양,강원 양양군 손양면 선사유적로 244,숙소,38.05310851,128.6844071,010-9852-3356,http://petrichorps.com/,
서프쉑,양양,강원 양양군 손양면 선사유적로 316-74,숙소,38.05318853,128.6868168,010-4857-3641,https://cafe.naver.com/surfshack1gallery,
빈티지하우스펜션,양양,강원 양양군 손양면 수산2길 16-11,숙소,38.07796647,128.671523,010-9062-2315,,
멍비치,양양,강원 양양군 현남면 광진리 78-20,관광지,37.95332631,128.7728595,033-670-2397,http://cafe.naver.com/grayonhjj,
남애항 스카이워크 전망대,양양,강원 양양군 현남면 남애리 2-72,관광지,37.94484473,128.7884848,033-670-2398,,
화이트샌드펜션,양양,강원 양양군 현남면 새나루길 31,숙소,37.97200617,128.7618611,010-9029-9366,http://www.whitesand.co.kr/,
죽도해수욕장,양양,강원 양양군 현남면 시변리 33-38,관광지,37.97215912,128.7616571,033-670-2397,,
서퍼스파라다이스 STAY,양양,강원 양양군 현남면 인구길 60-11,숙소,37.96967041,128.7616146,,http://surfersparadise.me,
죽도정,양양,강원 양양군 현남면 인구리 1-1,관광지,37.97134592,128.7626748,033-670-2397,,없음
지경리해수욕장,양양,강원 양양군 현남면 지경리 22-18,관광지,37.92294151,128.8019296,033-671-4568,,
글램독 애견펜션 양양점,양양,강원 양양군 현남면 화상천로 46,숙소,37.92742596,128.7876747,010-9397-2597,https://yapen.co.kr/external/set?ypIdx=79570,
하조대아름들,양양,강원 양양군 현북면 검소길 111,숙소,38.00799846,128.6917219,033-672-5955,,
양양캠핑장 어성전계곡야영장,양양,강원 양양군 현북면 어성전길 182-18,숙소,37.94716181,128.6634302,033-672-0236,,
숲속의집,양양,강원 양양군 현북면 어성전길 402,숙소,37.93192757,128.674843,033-673-9597,,
하조대해수욕장,양양,강원 양양군 현북면 하광정리 80-2,관광지,38.02295226,128.7250689,033-672-5647,http://hajodae.org/wp/,없음
하조대전망대,양양,강원 양양군 현북면 하륜길 54,관광지,38.02181654,128.7283714,033-672-5647,,
서피비치,양양,강원 양양군 현북면 하조대해안길 119,관광지,38.02775348,128.7175212,1522-2729,https://www.instagram.com/surfyy_beach,소형
별빛반려견 놀이터,영월,강원 영월군 남면 연당로 61,관광지,37.18666627,128.4063322,1577-0545,,
슬로우캠프,영월,강원 영월군 무릉도원면 고일길 18-5,숙소,37.3463625,128.1948694,010-2237-2116,https://youtube.com/@슬로우캠프,
월드니스 글램핑장,영월,강원 영월군 무릉도원면 도원운학로 475-10,숙소,37.29993249,128.220668,010-8890-4268,https://cafe.naver.com/wdcamping,
요선암 요선정,영월,강원 영월군 무릉도원면 무릉리 산139,관광지,37.29811732,128.2608802,033-370-2931,,
남강캠프,영월,강원 영월군 무릉도원면 무릉법흥로 1050-16,숙소,37.34996603,128.2802001,033-375-1006,,
영월캠프,영월,강원 영월군 무릉도원면 무릉법흥로 1208-56,숙소,37.36214886,128.2772394,0502-5554-1344,https://camfit.co.kr/camp/61024420d6369e001e23c360,
영월키즈캠핑장(힐링캠프),영월,강원 영월군 무릉도원면 무릉법흥로 1208-7,숙소,37.36410794,128.2734027,010-4915-5950,http://cafe.naver.com/camphealing,
금방아 민박 캠핑장,영월,강원 영월군 무릉도원면 무릉법흥로 516,숙소,37.31786034,128.2603555,010-2258-7967,http://cafe.naver.com/kumbanga,
영월 스카이 펜션&캠핑장,영월,강원 영월군 무릉도원면 무릉법흥로 852-15,숙소,37.3353952,128.2823443,033-372-0399,,
하얀여울캠프,영월,강원 영월군 무릉도원면 무릉법흥로 932,숙소,37.34028551,128.2805875,033-374-9058,https://www.camfit.co.kr/camp/60af33bebef2e8001ea6c4c4,
꿈엔들캠프,영월,강원 영월군 무릉도원면 무릉법흥로 968-12,숙소,37.3428711,128.2809798,010-5574-2500,https://www.camfit.co.kr/camp/625fb9ad3ea01c001e01b97f,
산여울 캠핑장,영월,강원 영월군 무릉도원면 백년계곡길 142,숙소,37.37706961,128.2717951,033-375-2268,,
여울소리 오토 캠핑장,영월,강원 영월군 무릉도원면 중방길 2-45,숙소,37.29335475,128.2687783,033-375-7863,,
선돌,영월,강원 영월군 영월읍 방절리 산 122,관광지,37.20557108,128.4340853,,https://www.yw.go.kr/tour/selectTourCntntsWebView.do?key=586&ctgry=15&tourNo=665,
카페 보름월,영월,강원 영월군 영월읍 분수대길 64,식당/카페,37.18060974,128.4651619,0507-1334-5341,,
탑스텐리조트 동강시스타,영월,강원 영월군 영월읍 사지막길 160,숙소,37.21776152,128.5187442,033-905-2000,,
청호정펜션,영월,강원 영월군 영월읍 선돌길 249,숙소,37.19196437,128.4295235,0507-1332-5142,,
물무리골생태습지,영월,강원 영월군 영월읍 영월로 1713-12,관광지,37.19724469,128.4501969,1577-0545,https://www.yw.go.kr/tour/selectTourCntntsWebView.do?key=562&ctgry=8&tourNo=686,
사람과자연펜션,영월,강원 영월군 주천면 평창강로 67,숙소,37.29351938,128.3329617,070-4364-9428,https://hnpension.kr,
한반도 솔숲쉼터,영월,강원 영월군 한반도면 서강로 1159-93,숙소,37.25103487,128.3687393,033-375-7935,,
한반도지형,영월,강원 영월군 한반도면 옹정리 산180,관광지,37.22137219,128.3454046,033-372-6001,,
큐브존 캠핑&펜션,영월,강원 영월군 한반도면 한반도로 794-14,숙소,37.23187464,128.3471724,,http://www.cubezone.kr/,
영월한반도캠핑장,영월,강원 영월군 한반도면 후탄로 826,숙소,37.21525552,128.3562489,010-6266-7495,https://m.site.naver.com/1DRbp,
호텔인터불고 원주,원주,강원 원주시 동부순환로 200 호텔인터불고 원주,숙소,37.33272787,127.9744755,033-769-8114,,
반계리 은행나무,원주,강원 원주시 문막읍 반계리 1495-1,관광지,37.29420807,127.7884224,033-737-5114,,
비안단테펜션 원주점,원주,강원 원주시 부론면 부론로 285-5,숙소,37.18083896,127.7579545,,http://viandante.co.kr/,
뚜띠네 과자점,원주,강원 원주시 소삼터길 10-14,식당/카페,37.34569809,127.9355006,033-735-9984,,
하이봉자,원주,강원 원주시 소초면 황골로 269-23,숙소,37.3759722,127.9989801,010-4325-1012,https://open.kakao.com/o/sSt6DuRh,
사진정원,원주,강원 원주시 소초면 황골로 426,식당/카페,37.36471217,128.0065253,010-9470-1209,https://www.instagram.com/graphygarden/?hl=ko,없음
솔치송어파티펜션,원주,강원 원주시 신림면 솔치안길 91,숙소,37.26869471,128.1999276,033-764-1506,,
카페도즈오프,원주,강원 원주시 신림면 신림황둔로 1060,식당/카페,37.25388757,128.1768519,010-5813-6536,https://www.instagram.com/dozee_off,
오크카운티펜션,원주,강원 원주시 지정면 구재로 352-4,숙소,37.41347341,127.8040842,,http://문막오크카운티펜션.com,
아기사자,원주,강원 원주시 지정면 오얏길 56,식당/카페,37.33771837,127.846952,,https://www.instagram.com/agisaja55,
지니의캠프펜션,원주,강원 원주시 지정면 장지길 69-22,숙소,37.36945537,127.811536,010-4032-6955,https://www.instagram.com/jini_camp_,
유알컬처파크,원주,강원 원주시 지정면 지정로 912,관광지,37.35850211,127.8023091,033-748-1476,http://www.urculturepark.com,
유알풀빌라펜션,원주,강원 원주시 지정면 지정로 912-1,숙소,37.35812207,127.8000348,010-8651-2972,http://urpoolvilla.staynt.co.kr,
횡성고향한우,원주,강원 원주시 지정면 질마재로 49,식당/카페,37.35020892,127.87782,033-747-8658,https://cafe.naver.com/hanu8658,
개고생,원주,강원 원주시 천매봉길 20-9,식당/카페,37.32289615,127.9440522,070-8233-0333,,
화이트클라우드,원주,강원 원주시 판부면 백운정윗길 27,식당/카페,37.28883077,127.9375892,033-765-0999,,
빵공장 라뜰리에 김가 원주점,원주,강원 원주시 행구로 314,식당/카페,37.34292243,127.9906741,033-735-5677,https://www.instagram.com/latelierkimga_official,
저스트도그,원주,강원 원주시 행구로 357,식당/카페,37.34395696,127.9955555,0503-7151-0119,https://www.instagram.com/justdog_official,
행구수변공원,원주,강원 원주시 행구로 362,관광지,37.34238325,127.996726,033-742-2111,,
사니다카페,원주,강원 원주시 호저면 칠봉로 109-128,식당/카페,37.40696686,127.9143824,070-7776-4422,https://www.sanida.co.kr,
크렘미엘,원주,강원 원주시 화실건너들길 22,식당/카페,37.34513121,127.9816619,010-9461-9007,https://smartstore.naver.com/creme_miel,
반려견쉼터 아름들,원주,강원 원주시 흥업면 흥업리 222,관광지,37.29566456,127.9251417,033-737-4443,,
맑은물리조트,인제,강원 인제군 기린면 내린천로 4723,숙소,37.9795851,128.2997608,033 463 8703,,
방태산솔마루오토캠핑장,인제,강원 인제군 기린면 방태산길 122-6 (방동리260),숙소,37.93934055,128.3813936,010-4577-7688,https://booking.ddnayo.com/?accommodationId=12876,
인제스피디움,인제,강원 인제군 기린면 상하답로 130,숙소,38.00260361,128.2953846,1644-3366,http://www.speedium.co.kr,
러빙네이쳐 캠핑장,인제,강원 인제군 남면 설악로 1129 러빙네이쳐캠핑장,숙소,38.00149385,128.1156544,010-6352-6868,http://lovingnature.co.kr,
카사데인제,인제,강원 인제군 남면 신남로 17-93,식당/카페,37.96077911,128.0720259,010-7933-4898,https://www.instagram.com/casa_de_inje/,
미산분교캠핑장,인제,강원 인제군 상남면 내린천로 1622,숙소,37.87105658,128.3182445,010-2013-6096,http://cafe.naver.com/camptool,
반디하우스,인제,강원 인제군 상남면 내린천로 2355,숙소,37.87627874,128.2715919,010-4706-2236,http://www.bandihouse.com/,
인제빙어축제,인제,강원 인제군 인제읍 비봉로44번길 100,관광지,38.06066823,128.1649537,033-460-8954,,
보리네민박,인제,강원 인제군 인제읍 자작나무숲길 1061-2,숙소,38.00382384,128.2271287,010-9253-4267,https://blog.naver.com/great425,
